"Trial",   "rt",     "nt",     "rc",      "nc",    "Latitude"
 1,         4,        123,      11,        139,     44           
 2,         6,        306,      29,        303,     55           
 3,         3,        231,      11,        220,     42           
 4,         62,       13598,    248,       12867,   52           
 5,         33,       5069,     47,        5808,    13           
 6,         180,      1541,     372,       1451,    44           
 7,         8,        2545,     10,        629,     19           
 8,         505,      88391,    499,       88391,   13           
 9,         29,       7499,     45,        7277,    27           
 10,        17,       1716,     65,        1665,    42           
 11,        186,      50634,    141,       27338,   18          
 12,        5,        2498,     3,         2341,    33           
 13,        27,       16913,    29,        17854,   33           
