"r1",	 "n1",	  "r2",	  "n2",	   "t1",    "t2",    "na",    "cov",     "des"
15,      199,     146,     393,     1,       2,       2,       6.15,       1
4,       127,     80,      246,     1,       2,       2,       5.85,       1
9,       63,      28,      65,      1,       3,       2,       6.85,       2
19,      200,     81,      207,     1,       3,       2,       10.95,      2
5,       62,      37,      67,      1,       3,       2,       11.65,      2
1,       30,      23,      59,      1,       4,       2,       13,         3
33,      363,     110,     360,     1,       5,       2,       8.1,        4
22,      110,     61,      165,     1,       5,       2,       7.85,       4
0,       47,      15,      49,      1,       5,       2,       8.3,        4
5,       40,      5,       40,      1,       6,       2,       11.25,      5
14,      49,      26,      50,      1,       7,       2,       0.915,      6
22,      204,     90,      205,     1,       7,       2,       7.65,       6
