"r1" "n1" "r2" "n2"
2 142 5 139
3 200 6 201
2 100 2 100
2 84 1 84
10 450 18 450
3 156 5 155
14 1104 8 1099
0 73 0 74
16 176 11 163
0 10 0 10
0 11 0 11
0 20 0 20
0 30 0 30
0 32 1 33
3 150 4 150
0 80 0 80
0 208 2 192
2 150 0 150
0 60 2 60
0 10 0 20
0 81 1 86
0 10 0 10
1 40 1 40
0 25 0 25
0 20 0 20
1 108 5 104
0 50 0 50
0 22 0 22
0 102 3 102
0 18 0 17
0 20 0 20
0 25 0 25
0 20 0 20
0 15 0 15
0 20 1 20
0 29 0 29
0 52 0 67
0 40 0 40
1 24 1 26
0 88 2 88
0 30 1 30
0 33 0 37
0 27 0 27
0 11 0 14
0 15 1 20
0 30 1 30
0 10 0 10
0 26 0 26
0 13 0 15
0 21 0 21
0 25 0 25
0 25 0 25
0 30 0 12
0 10 0 10
0 17 0 17
0 14 0 15
0 60 1 60
0 10 1 10
0 30 0 30
0 35 0 36
